rank,city,distance,distance_in_km,cardinal_direction,median_prices
843,Hazelwood North,142.4km,142.4,East,633800.00
844,Foster,143km,143,South-east,329400.00
845,Lismore,143.1km,143.1,West,165900.00
846,Jumbuk,143.9km,143.9,East,
847,Waratah North,144.2km,144.2,South-east,
848,Traralgon,144.5km,144.5,East,322300.00
849,Glengarry,144.7km,144.7,East,388200.00
850,Walkerville,144.7km,144.7,South-east,326600.00
851,Beaufort,145.7km,145.7,West,260800.00
852,Sawmill Settlement,146.2km,146.2,North-east,258300.00
853,Violet Town,147.1km,147.1,North-east,261900.00
854,Gellibrand,147.5km,147.5,West,261700.00
855,Toongabbie,148.3km,148.3,East,354200.00
856,Traralgon South,148.4km,148.4,East,416900.00
857,Skenes Creek,149.1km,149.1,South-west,612700.00
858,Port Franklin,150km,150,South-east,261600.00
859,Elmore,150.1km,150.1,North,232700.00
860,Swanpool,150.5km,150.5,North-east,
861,Sandy Point,150.7km,150.7,South-east,481400.00
862,Mount Buller,150.9km,150.9,East,
863,Toolamba,151.1km,151.1,North,384000.00
864,Newbridge,151.6km,151.6,North-west,194200.00
865,Toora,152.2km,152.2,South-east,251700.00
866,Stanhope,152.3km,152.3,North,197900.00
867,Beech Forest,152.4km,152.4,South-west,353300.00
868,Dunolly,152.5km,152.5,North-west,216100.00
869,Apollo Bay,153.5km,153.5,South-west,656100.00
870,Derrinallum,153.6km,153.6,West,147600.00
871,Cowwarr,153.8km,153.8,East,320000.00
872,Avoca,154.4km,154.4,West,227800.00
873,Tolmie,154.4km,154.4,North-east,386100.00
874,Amphitheatre,154.8km,154.8,West,176500.00
875,Tatura,154.8km,154.8,North,267300.00
876,Marengo,156.1km,156.1,South-west,675700.00
877,Girgarre,157.6km,157.6,North,102500.00
878,Welshpool,160km,160,South-east,266600.00
879,Coongulla,160.3km,160.3,East,268300.00
880,Kialla,160.6km,160.6,North,409200.00
881,Heyfield,161.1km,161.1,East,177000.00
882,Merrigum,161.3km,161.3,North,221400.00
883,Gormandale,161.5km,161.5,East,493300.00
884,Mooroopna,161.9km,161.9,North,247300.00
885,Bridgewater On Loddon,162.7km,162.7,North-west,205400.00
886,Rochester,163.4km,163.4,North,297000.00
887,Port Welshpool,164.2km,164.2,South-east,267000.00
888,Shepparton,164.2km,164.2,North,287300.00
889,Rosedale,164.7km,164.7,East,272600.00
890,Buangor,165.6km,165.6,West,
891,Camperdown,165.9km,165.9,West,232200.00
892,Benalla,167.1km,167.1,North-east,301700.00
893,Elmhurst,167.2km,167.2,West,179400.00
894,Kyabram,167.8km,167.8,North,293700.00
895,Lavers Hill,167.9km,167.9,South-west,261600.00
896,Inglewood,168.7km,168.7,North-west,172500.00
897,Darlington,169.2km,169.2,West,
898,Bealiba,169.4km,169.4,North-west,181000.00
899,Newry,169.8km,169.8,East,236600.00
900,Yarram,171.4km,171.4,East,256200.00
901,Moonambel,171.9km,171.9,North-west,236600.00
902,Congupna,173.3km,173.3,North,399000.00
903,Tongala,174.1km,174.1,North,267300.00
904,Cobden,174.9km,174.9,West,192100.00
905,Lockington,175.8km,175.8,North,161000.00
906,Koyuga,177.3km,177.3,North,
907,Goorambat,177.5km,177.5,North-east,182800.00
908,Maffra,177.6km,177.6,East,295800.00
909,Port Albert,178.8km,178.8,East,243000.00
910,Scotts Creek,182.5km,182.5,West,
911,Echuca West,183.5km,183.5,North,533300.00
912,Noorat,183.5km,183.5,West,
913,Woodside,185km,185,East,
914,Landsborough,185.1km,185.1,West,204000.00
915,Briagolong,185.5km,185.5,East,347300.00
916,Terang,185.5km,185.5,West,195700.00
917,Stratford,186.7km,186.7,East,312300.00
918,Glenrowan,187.3km,187.3,North-east,285500.00
919,Sale,187.7km,187.7,East,314100.00
920,Echuca,188.6km,188.6,North,410600.00
921,Timboon,188.9km,188.9,West,231000.00
922,Ararat,189km,189,West,226600.00
923,Wunghnu,189.4km,189.4,North,165000.00
924,Invergordon,190km,190,North,190300.00
925,Longford,190.2km,190.2,East,466800.00
926,Mortlake,191.7km,191.7,West,218300.00
927,Port Campbell,193.7km,193.7,West,434000.00
928,Wedderburn,196.1km,196.1,North-west,187400.00
929,Numurkah,196.2km,196.2,North,224000.00
